201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000009/exp03/virus/20181014T050102.0_105LL_sci.fits HF00118_E_000_E 367.249583104 404.274900887 58405.2090512197 0.706667 -0.15 153.130916 148.297015 -105.013521179557 16.4344444444444
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000010/exp03/virus/20181014T052509.1_105LL_sci.fits HF00557_E 368.549541632 403.380002658 58405.2258002455 0.94 0 153.130998 148.297115 -104.996138378978 15.8872222222222
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000011/exp03/virus/20181014T055300.0_105LL_sci.fits HF00164_E 487.500446976 522.94805059 58405.2451396789 1.534667 -0.15 153.130998 148.297115 -105.000484079123 15.9016666666667
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000012/exp03/virus/20181014T061909.5_105LL_sci.fits HF00190_E 367.997967104 404.201731272 58405.263304533 2.002667 -0.15 153.130998 148.297115 -104.996138378978 15.3433333333333
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000013/exp03/virus/20181014T064715.7_105LL_sci.fits HF00414_E 486.998014464 522.877881983 58405.2828210853 2.254667 -0.15 153.130998 148.297115 -105.000484079123 14.9955555555556
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000014/exp03/virus/20181014T071355.4_105LL_sci.fits HF00215_W 366.851297792 402.604161582 58405.3013367029 0.598667 0.15 207.496871 212.469329 -105.013521179557 15.3616666666667
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000015/exp03/virus/20181014T073736.8_105LL_sci.fits HF00460_W 367.050389248 402.456315382 58405.3177879257 0.961333 0.32 207.496871 212.469329 -105.000484079123 15.2405555555556
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000016/exp03/virus/20181014T080119.2_105LL_sci.fits HF00258_W 368.09939584 403.205580648 58405.3342510662 1.372667 0.15 207.496871 212.469329 -105.004829779267 15.9877777777778
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000017/exp03/virus/20181014T083037.3_105LL_sci.fits HF00506_W 546.647704064 582.15519649 58405.3545990717 1.789333 0.32 207.496871 212.469329 -105.017866879702 16.0166666666667
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000018/exp03/virus/20181014T085727.6_105LL_sci.fits HF00429_W 368.450274304 404.104004268 58405.3732365184 2.308667 0.15 207.496871 212.469329 -105.004829779267 15.8138888888889
201810sci:/work/03946/hetdex/maverick/20181014/virus/virus0000019/exp03/virus/20181014T092218.2_105LL_sci.fits HF00541_W 428.15026048 463.505599807 58405.3904891508 2.419333 0.32 207.496871 212.469329 -105.000484079123 15.3994444444444
